date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:37:51	138/138	---MC-	200	added ('OK')	text/plain	date:Fri,%2002%20Jan%202026%2018:37:53%20GMT	https://viiencuentro.humanidadesdigitales.net/robots.txt		(from )
19:37:52	585336/585336	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Jan%202026%2018:37:53%20GMT	https://viiencuentro.humanidadesdigitales.net/	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/index.html	(from )
19:37:53	2288/2288	---MC-	200	added ('OK')	application/json	date:Fri,%2002%20Jan%202026%2018:37:55%20GMT	https://viiencuentro.humanidadesdigitales.net/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fviiencuentro.humanidadesdigitales.net%2F	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/wp-json/oembed/1.0/embeda6af.json	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:53	1834/1834	---MC-	200	added ('OK')	application/rss+xml	etag:%22b86027a7b9409b865207d56885ba255c%22	https://viiencuentro.humanidadesdigitales.net/comments/feed/	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/comments/feed/index.html	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:54	2442/2442	---MC-	200	added ('OK')	text/xml	date:Fri,%2002%20Jan%202026%2018:37:56%20GMT	https://viiencuentro.humanidadesdigitales.net/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fviiencuentro.humanidadesdigitales.net%2F&format=xml	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/wp-json/oembed/1.0/embedca96	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:54	2135/2135	---MC-	200	added ('OK')	application/rss+xml	etag:%22b86027a7b9409b865207d56885ba255c%22	https://viiencuentro.humanidadesdigitales.net/feed/	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/feed/index.html	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:54	11000/11000	---M--	200	added ('OK')	text/css	etag:%222af8-6434671716420%22	https://viiencuentro.humanidadesdigitales.net/wp-content/plugins/mp-timetable/media/css/style.css?ver=2.4.16	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/wp-content/plugins/mp-timetable/media/css/style8674.css	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:54	80164/80164	---M--	200	added ('OK')	text/css	etag:%2213924-641a1de8e0025%22	https://viiencuentro.humanidadesdigitales.net/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=2.6.1	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontendc141.css	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:54	776/776	---M--	200	added ('OK')	text/css	etag:%22308-641a1de8d0624%22	https://viiencuentro.humanidadesdigitales.net/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=2.6.1	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementorc141.css	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:55	54564/54564	---M--	200	added ('OK')	text/css	etag:%22d524-6469381300297%22	https://viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.34.0	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/css/frontend.mine7a7.css	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:55	42697/42697	---M--	200	added ('OK')	image/png	etag:%22a6c9-63429ec4508b7%22	https://viiencuentro.humanidadesdigitales.net/wp-content/uploads/2025/05/Fondo1-scaled.png	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/wp-content/uploads/2025/05/Fondo1-scaled.png	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:55	45276/45276	---M--	200	added ('OK')	image/png	etag:%22b0dc-63429f55918a6%22	https://viiencuentro.humanidadesdigitales.net/wp-content/uploads/2025/05/Fondo2-scaled.png	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/wp-content/uploads/2025/05/Fondo2-scaled.png	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:55	131588/131588	---M--	200	added ('OK')	image/png	etag:%2220204-6342b11aea059%22	https://viiencuentro.humanidadesdigitales.net/wp-content/uploads/2025/03/Footer-scaled.png	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/wp-content/uploads/2025/03/Footer-scaled.png	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:56	230661/230661	---M--	200	added ('OK')	image/png	etag:%2238505-6347b12a9e99a%22	https://viiencuentro.humanidadesdigitales.net/wp-content/uploads/2025/03/Footer-movil.png	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/wp-content/uploads/2025/03/Footer-movil.png	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:56	929066/929066	---M--	200	added ('OK')	image/png	etag:%22e2d2a-634bab5e4080a%22	https://viiencuentro.humanidadesdigitales.net/wp-content/uploads/2025/03/Footer-movil-1-scaled.png	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/wp-content/uploads/2025/03/Footer-movil-1-scaled.png	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:56	3213/3213	---M--	200	added ('OK')	text/css	etag:%22c8d-640cf311e2cf6%22	https://viiencuentro.humanidadesdigitales.net/wp-content/plugins/sticky-header-effects-for-elementor/assets/css/she-header-style.css?ver=2.1.3	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/wp-content/plugins/sticky-header-effects-for-elementor/assets/css/she-header-style4c71.css	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:56	214/214	---M--	200	added ('OK')	text/css	etag:%22d6-646938130ae77%22	https://viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.34.0	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/css/widget-image.mine7a7.css	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:56	367/367	---M--	200	added ('OK')	text/css	etag:%2216f-6469381385f3d%22	https://viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/lib/animations/styles/bounceIn.min.css?ver=3.34.0	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/lib/animations/styles/bounceIn.mine7a7.css	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:57	16471/16471	---M--	200	added ('OK')	text/css	etag:%224057-64693813a439f%22	https://viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:57	5486/5486	---M--	200	added ('OK')	text/css	etag:%22156e-64693812fc416%22	https://viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.34.0	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.mine7a7.css	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:57	560/560	---M--	200	added ('OK')	text/css	etag:%22230-646938130ae77%22	https://viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.34.0	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/css/widget-heading.mine7a7.css	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:57	330/330	---M--	200	added ('OK')	text/css	etag:%2214a-6469381385f3d%22	https://viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInLeft.min.css?ver=3.34.0	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInLeft.mine7a7.css	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:57	335/335	---M--	200	added ('OK')	text/css	etag:%2214f-6469381385f3d%22	https://viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInRight.min.css?ver=3.34.0	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInRight.mine7a7.css	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:58	330/330	---M--	200	added ('OK')	text/css	etag:%2214a-6469381385f3d%22	https://viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInDown.min.css?ver=3.34.0	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInDown.mine7a7.css	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:58	153/153	---M--	200	added ('OK')	text/css	etag:%2299-646938138cc9e%22	https://viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/lib/animations/styles/slideInLeft.min.css?ver=3.34.0	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/lib/animations/styles/slideInLeft.mine7a7.css	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:58	77/77	---M--	200	added ('OK')	text/css	etag:%224d-646938138ad5e%22	https://viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.min.css?ver=3.34.0	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.mine7a7.css	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:58	184/184	---M--	200	added ('OK')	text/css	etag:%22b8-646938138cc9e%22	https://viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/lib/animations/styles/shake.min.css?ver=3.34.0	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/lib/animations/styles/shake.mine7a7.css	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:59	338/338	---M--	200	added ('OK')	text/css	etag:%22152-646938138ad5e%22	https://viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/lib/animations/styles/headShake.min.css?ver=3.34.0	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/lib/animations/styles/headShake.mine7a7.css	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:59	106/106	---M--	200	added ('OK')	text/css	etag:%226a-646938138dc3e%22	https://viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/lib/animations/styles/zoomIn.min.css?ver=3.34.0	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/wp-content/plugins/elementor/assets/lib/animations/styles/zoomIn.mine7a7.css	(from https://viiencuentro.humanidadesdigitales.net/)
19:37:59	5456/5456	---M--	200	added ('OK')	text/css	etag:%221550-63dfef17c2281%22	https://viiencuentro.humanidadesdigitales.net/wp-content/themes/hello-elementor/assets/css/reset.css?ver=3.4.4	C:/My%20Web%20Sites/viiencuentro/viiencuentro.humanidadesdigitales.net/wp-content/themes/hello-elementor/assets/css/resetedb1.css	(from https://viiencuentro.humanidadesdigitales.net/)
